record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
137710XXXX,2/26/2020 11:30,17031,60609,1,6,2,100,100,100,0,0,100,0,0,3,6,9,,,,,1,1,1,56,2,3,2,2,2,1,2,1,2,2,2,2,2,2,1,2,0.824341641
142010XXXX,2/26/2020 11:30,17031,60477,2,,,,,,,,,,,,,,,,,,,2,1,28,1,3,3,6,5,2,1,1,2,4,2,2,2,2,2,2,1.16527008
188310XXXX,2/26/2020 11:32,17031,60640,1,1,,0,10,20,0,0,40,0,0,,,,,,,,,2,1,18,1,3,2,3,4,2,1,1,2,4,2,2,1,2,1,2,1.16527008
197710XXXX,2/26/2020 11:32,17031,60409,1,4,,50,50,40,50,40,50,50,50,,,,,,,,,2,1,26,1,2,3,4,2,1,1,1,1,4,2,2,2,2,2,2,0.780703674
226100XXXX,2/25/2020 22:53,17031,60649,1,4,,60,40,70,40,10,100,10,40,,,,,,,,,2,1,21,1,2,2,4,4,2,1,1,2,2,2,1,2,2,2,2,0.780703674
379100XXXX,2/25/2020 23:42,17031,60651,1,5,1,0,25,10,0,0,25,0,10,,,,,,,,,2,1,67,2,3,1,1,1,2,2,2,1,2,2,2,2,2,2,2,0.83055425
410100XXXX,2/26/2020 0:09,17041,61953,2,,,,,,,,,,,,,,,,,,,2,1,56,2,3,1,3,4,2,2,1,2,3,2,2,2,2,3,2,0.824341641
781100XXXX,2/25/2020 22:19,17043,60563,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,58,2,3,1,1,1,3,3,2,1,1,1,2,2,2,2,2,0.847513457
940100XXXX,2/25/2020 22:22,17043,60126,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,51,2,3,1,1,1,3,3,2,2,2,2,2,2,2,2,2,0.847513457
185710XXXX,2/26/2020 11:32,17043,60189,1,6,3,40,30,30,0,0,70,0,20,,,,,,,,,2,2,58,2,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,0.847513457
693100XXXX,2/25/2020 22:17,17043,60515,1,5,2,50,60,80,0,70,40,50,40,3,5,2,1,7,9,,5,1,1,39,1,3,3,3,2,3,3,2,1,2,2,2,2,2,2,2,0.633420996
972100XXXX,2/25/2020 22:20,17043,60527,2,,,,,,,,,,,,,,,,,,,2,1,23,1,3,1,4,1,3,1,1,2,4,2,2,2,2,2,2,1.16527008
