# Final piles of ballots, sorted by candidate.
# Created Wednesday, November 5, 2003 5:51 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Yes"
.CANDIDATE C02, "No"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
000101-00-0304, 1) C02
000101-00-0305, 1) C02
000101-00-0308, 1) C02
000101-00-0313, 1) C02
000101-00-0330, 1) C02
000101-00-0332, 1) C02
000101-00-0335, 1) C02
000101-00-0342, 1) C02
000101-00-0348, 1) C02
000101-00-0353, 1) C02
000101-00-0356, 1) C02
000101-00-0359, 1) C02
000101-00-0363, 1) C02
000101-00-0368, 1) C02
000101-00-0370, 1) C02
000101-00-0379, 1) C02
000101-00-0384, 1) C02
000101-00-0386, 1) C02
000101-00-0389, 1) C02
000101-00-0391, 1) C02
000101-00-0396, 1) C02
000101-00-0397, 1) C02
000101-00-0402, 1) C02
000101-00-0405, 1) C02
000101-00-0406, 1) C02
000101-00-0420, 1) C02
000101-00-0423, 1) C02
000101-00-0425, 1) C02
000101-00-0428, 1) C02
000101-00-0437, 1) C02
000101-00-0440, 1) C02
000101-00-0442, 1) C02
000101-00-0453, 1) C02
000101-00-0456, 1) C02
000101-00-0457, 1) C02
000101-00-0462, 1) C02
000101-00-0463, 1) C02
000101-00-0467, 1) C02
000101-00-0469, 1) C02
000101-00-0472, 1) C02
000101-00-0476, 1) C02
000101-00-0483, 1) C02
000101-00-0486, 1) C02
000101-00-0488, 1) C02
000101-00-0490, 1) C02
000101-00-0494, 1) C02
000101-00-0497, 1) C02
000101-00-0500, 1) C02
000101-00-0513, 1) C02
000101-00-0514, 1) C02
000101-00-0518, 1) C02
000101-00-0521, 1) C02
000101-00-0523, 1) C02
000101-00-0535, 1) C02
000101-00-0540, 1) C02
000101-00-0541, 1) C02
000101-00-0544, 1) C02
000101-00-0554, 1) C02
000101-00-0556, 1) C02
000101-00-0560, 1) C02
000101-00-0566, 1) C02
000101-00-0569, 1) C02
000101-00-0573, 1) C02
000101-00-0578, 1) C02
000101-00-0580, 1) C02
000101-00-0583, 1) C02
000101-00-0594, 1) C02
000101-00-0597, 1) C02
000101-00-0599, 1) C02
000101-00-0600, 1) C02
000101-00-0605, 1) C02
000101-00-0607, 1) C02
000101-00-0609, 1) C02
000101-00-0612, 1) C02
000101-00-0615, 1) C02
000101-00-0619, 1) C02
000101-00-0622, 1) C02
000101-00-0628, 1) C02
000101-00-0630, 1) C02
000101-00-0635, 1) C02
000101-00-0637, 1) C02
000101-00-0639, 1) C02
000101-00-0642, 1) C02
000101-00-0644, 1) C02
000101-00-0653, 1) C02
000101-00-0667, 1) C02
000101-00-0668, 1) C02
000101-00-0671, 1) C02
000101-00-0675, 1) C02
000101-00-0677, 1) C02
000101-00-0680, 1) C02
000101-00-0682, 1) C02
000101-00-0689, 1) C02
000101-00-0690, 1) C02
000101-00-0705, 1) C02
000101-00-0706, 1) C02
000101-00-0716, 1) C02
000101-00-0717, 1) C02
000101-00-0720, 1) C02
000101-00-0723, 1) C02
000101-00-0725, 1) C02
000101-00-0729, 1) C02
000101-00-0732, 1) C02
000101-00-0741, 1) C02
000101-00-0744, 1) C02
000101-00-0752, 1) C02
000101-00-0754, 1) C02
000101-00-0763, 1) C02
000101-00-0767, 1) C02
000101-00-0772, 1) C02
000101-00-0775, 1) C02
000101-00-0789, 1) C02
000101-00-0793, 1) C02
000101-00-0794, 1) C02
000101-00-0797, 1) C02
000101-00-0799, 1) C02
000101-00-0803, 1) C02
000101-00-0804, 1) C02
000101-00-0809, 1) C02
000101-00-0811, 1) C02
000101-00-0815, 1) C02
000101-00-0817, 1) C02
000101-00-0820, 1) C02
000101-00-0823, 1) C02
000101-00-0826, 1) C02
000101-00-0844, 1) C02
000101-00-0851, 1) C02
000101-00-0854, 1) C02
000101-00-0857, 1) C02
000101-00-0862, 1) C02
000101-00-0867, 1) C02
000101-00-0870, 1) C02
000101-00-0871, 1) C02
000101-00-0874, 1) C02
000101-00-0882, 1) C02
000101-00-0887, 1) C02
000101-00-0890, 1) C02
000101-00-0892, 1) C02
000101-00-0895, 1) C02
000101-00-0898, 1) C02
000101-00-0904, 1) C02
000101-00-0908, 1) C02
000101-00-0912, 1) C02
000101-00-0914, 1) C02
000101-00-0921, 1) C02
000101-00-0924, 1) C02
000101-00-0927, 1) C02
000101-00-0935, 1) C02
000101-00-0937, 1) C02
000101-00-0944, 1) C02
000101-00-0946, 1) C02
000101-00-0953, 1) C02
000101-00-0958, 1) C02
000101-00-0962, 1) C02
000101-00-0963, 1) C02
000101-00-0972, 1) C02
000101-00-0977, 1) C02
000101-00-0985, 1) C02
000101-00-0991, 1) C02
000101-00-1000, 1) C02
000101-00-1004, 1) C02
000101-00-1007, 1) C02
000101-00-1010, 1) C02
000101-00-1011, 1) C02
000101-00-1018, 1) C02
000101-00-1024, 1) C02
000101-00-1029, 1) C02
000101-00-1033, 1) C02
000101-00-1035, 1) C02
000101-00-1040, 1) C02
000101-00-1043, 1) C02
000101-00-1044, 1) C02
000101-00-1047, 1) C02
000101-00-1050, 1) C02
000101-00-1057, 1) C02
000101-00-1065, 1) C02
000101-00-1071, 1) C02
000101-00-1079, 1) C02
000101-00-1080, 1) C02
000101-00-1100, 1) C02
000101-00-1104, 1) C02
000101-00-1109, 1) C02
000101-00-1110, 1) C02
000101-00-1114, 1) C02
000101-00-1120, 1) C02
000101-00-1123, 1) C02
000101-00-1125, 1) C02
000101-00-1128, 1) C02
000101-00-1139, 1) C02
000101-00-1143, 1) C02
000101-00-1152, 1) C02
000101-00-1157, 1) C02
000101-00-1158, 1) C02
000101-00-1162, 1) C02
000101-00-1170, 1) C02
000101-00-1175, 1) C02
000101-00-1178, 1) C02
000101-00-1180, 1) C02
000101-00-1183, 1) C02
000101-00-1189, 1) C02
000101-00-1193, 1) C02
000101-00-1199, 1) C02
000101-00-1204, 1) C02
000101-00-1208, 1) C02
000101-00-1211, 1) C02
000101-00-1215, 1) C02
