break_on_overvote,break_on_repeated_skipvotes,candidate_map,contest,county,date,idparser,master_lookup,multi_winner_rounds,num_winners,office,parser,path,place,rcv_type,state,state_code,year
False,False,,Minneapolis Park At Large 2013,,11/5/2013,,,True,3,Park & Rec Board At Large,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-at-large-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.stv_fractional_ballot'>,MN,,2013
False,False,,Minneapolis Ward 13 2013,,11/5/2013,,,False,1,Ward 13 City Council ,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-13-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
False,False,,Minneapolis Ward 5 2013,,11/5/2013,,,False,1,Ward 5 City Council ,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-5-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
False,False,,Minneapolis Ward 9 2013,,11/5/2013,,,False,1,Ward 9 City Council ,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013 Council - ward-9-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
False,False,,Minneapolis BOE 2009,,11/6/2009,,,True,2,Board of Estimate and Taxation,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Board of Estimate and Taxation – At-Large – elect 2.xls.csv,Minneapolis,<class 'scripts.rcv_variants.stv_fractional_ballot'>,MN,,2009
False,False,,Minneapolis Mayor 2009,,11/6/2009,,,False,1,Mayor,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Mayor.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park At Large 2009,,11/6/2009,,,True,3,Minneapolis Park & Rec Board,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Park and Recreation Board – At-Large – elect 3.xls.csv,Minneapolis,<class 'scripts.rcv_variants.stv_fractional_ballot'>,MN,,2009
False,False,,Minneapolis Park District 1 2009,,11/6/2009,,,False,1,P&R Board District 1,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 1.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park District 2 2009,,11/6/2009,,,False,1,P&R Board District 2,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 2.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park District 3 2009,,11/6/2009,,,False,1,P&R Board District 3,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 3.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park District 4 2009,,11/6/2009,,,False,1,P&R Board District 4,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 4.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park District 5 2009,,11/6/2009,,,False,1,P&R Board District 5,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 5.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis Park District 6 2009,,11/6/2009,,,False,1,P&R Board District 6,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis Park and Recreation Board District 6.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis City Council Ward 10 2009,,11/6/2009,,,False,1,Ward 10 City Council,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 10.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis City Council Ward 11 2009,,11/6/2009,,,False,1,Ward 11 City Council,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 11.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis City Council Ward 12 2009,,11/6/2009,,,False,1,Ward 12 City Council,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 12.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis City Council Ward 13 2009,,11/6/2009,,,False,1,Ward 13 City Council,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 13.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
False,False,,Minneapolis City Council Ward 1 2009,,11/6/2009,,,False,1,Ward 1 City Council,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 1.xls.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2009
