ranks,ballotID,rank1,rank2,rank3,rank4
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3870,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3871,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",3872,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3873,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'skipped', 'skipped']",3874,Harvey Curley,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",3875,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",3876,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3877,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",3878,Mary Hall-Rayford,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",3879,Larry Edwards,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",3880,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3881,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3882,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3883,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3884,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3885,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3886,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3887,Harvey Curley,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3888,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3889,Harvey Curley,skipped,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",3890,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
