ranks,ballotID,rank1,rank2,rank3,rank4
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",174,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",175,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",176,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",177,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",178,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['skipped', 'skipped', 'skipped', 'skipped']",179,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",180,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido']",181,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",182,Larry Edwards,skipped,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",183,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",184,Harvey Curley,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",185,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",186,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",187,Larry Edwards,skipped,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",188,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",189,Harvey Curley,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",190,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",191,Harvey Curley,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",192,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",193,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",194,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",195,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",196,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",197,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",198,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",199,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",200,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",201,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",202,Harvey Curley,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",203,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",204,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",205,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",206,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",207,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",208,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",209,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",210,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",211,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",212,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",213,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",214,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",215,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",216,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",217,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",218,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",219,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",220,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",221,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",222,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",223,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",224,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",225,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",226,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",227,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",228,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",229,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",230,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",231,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",232,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",233,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",234,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",235,Larry Edwards,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",236,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",237,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",238,Mary Hall-Rayford,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",239,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",240,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",241,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",242,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",243,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",244,Larry Edwards,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",245,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Larry Edwards']",246,Sarah A. Lucido,Larry Edwards,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",247,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",248,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",249,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",250,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Sarah A. Lucido']",251,Mary Hall-Rayford,Sarah A. Lucido,Mary Hall-Rayford,Sarah A. Lucido
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",252,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",253,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",254,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",255,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",256,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",257,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",258,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",259,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",260,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",261,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",262,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",263,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",264,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",265,Sarah A. Lucido,skipped,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",266,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",267,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'skipped']",268,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",269,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",270,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'writein', 'writein']",271,Sarah A. Lucido,Mary Hall-Rayford,writein,writein
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",272,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Sarah A. Lucido']",273,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Sarah A. Lucido
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",274,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",275,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",276,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",277,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped']",278,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",279,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",280,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",281,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",282,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",283,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",284,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",285,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",286,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",287,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",288,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",289,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",290,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Larry Edwards', 'Larry Edwards', 'Larry Edwards', 'Larry Edwards']",291,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",292,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",293,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",294,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",295,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",296,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",297,Mary Hall-Rayford,skipped,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",298,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",299,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",300,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'Mary Hall-Rayford']",301,Sarah A. Lucido,skipped,skipped,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",302,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",303,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",304,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",305,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",306,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",307,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['skipped', 'skipped', 'skipped', 'skipped']",308,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",309,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",310,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",311,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",312,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",313,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",314,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",315,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",316,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",317,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",318,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",319,Larry Edwards,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",320,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",321,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Larry Edwards', 'Larry Edwards', 'Larry Edwards', 'Larry Edwards']",322,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'skipped', 'skipped']",323,Harvey Curley,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",324,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",325,skipped,skipped,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",326,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",327,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",328,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",329,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",330,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",331,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",332,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",333,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'skipped']",334,Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",335,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",336,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Harvey Curley', 'skipped', 'skipped']",337,Harvey Curley,Harvey Curley,skipped,skipped
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",338,Larry Edwards,skipped,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",339,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",340,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",341,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",342,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",343,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'writein', 'writein']",344,Sarah A. Lucido,Harvey Curley,writein,writein
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Larry Edwards']",345,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Larry Edwards
