ranks,ballotID,rank1,rank2,rank3
"['Jeremiah Ellison', 'skipped', 'skipped']",400,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",401,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'skipped']",402,Blong Yang,Jeremiah Ellison,skipped
"['Blong Yang', 'skipped', 'skipped']",403,Blong Yang,skipped,skipped
"['Blong Yang', 'Raeisha (RA) Williams', 'Jeremiah Ellison']",404,Blong Yang,Raeisha (RA) Williams,Jeremiah Ellison
"['Jeremiah Ellison', 'Blong Yang', 'writein']",405,Jeremiah Ellison,Blong Yang,writein
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Raeisha (RA) Williams']",406,Jeremiah Ellison,Raeisha (RA) Williams,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'Cathy Spann']",407,Jeremiah Ellison,Blong Yang,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",408,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'Blong Yang', 'Blong Yang']",409,Blong Yang,Blong Yang,Blong Yang
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",410,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",411,Jeremiah Ellison,Blong Yang,skipped
"['Blong Yang', 'Blong Yang', 'Blong Yang']",412,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",413,Blong Yang,Blong Yang,Blong Yang
"['skipped', 'skipped', 'skipped']",414,skipped,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",415,Blong Yang,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'skipped']",416,Blong Yang,Jeremiah Ellison,skipped
"['Blong Yang', 'skipped', 'skipped']",417,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",418,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Blong Yang', 'Cathy Spann', 'Jeremiah Ellison']",419,Blong Yang,Cathy Spann,Jeremiah Ellison
"['skipped', 'skipped', 'skipped']",420,skipped,skipped,skipped
"['Raeisha (RA) Williams', 'Blong Yang', 'Jeremiah Ellison']",421,Raeisha (RA) Williams,Blong Yang,Jeremiah Ellison
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",422,Jeremiah Ellison,Blong Yang,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",423,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Jeremiah Ellison', 'skipped', 'skipped']",424,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'skipped']",425,Blong Yang,Jeremiah Ellison,skipped
"['Blong Yang', 'Raeisha (RA) Williams', 'Cathy Spann']",426,Blong Yang,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'writein', 'writein']",427,Blong Yang,writein,writein
"['Blong Yang', 'Cathy Spann', 'skipped']",428,Blong Yang,Cathy Spann,skipped
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",429,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'skipped', 'skipped']",430,Raeisha (RA) Williams,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",431,Blong Yang,skipped,skipped
