ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
109,"Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Janik, Jonathan S.","Seidel, Sam","Murphy, Brian","Simmons, E. Denise","Maher, David P.","Toomey, Timothy J., Jr.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped
110,"Kelley, Craig A.","Reeves, Kenneth E.","Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Toomey, Timothy J., Jr.","Seidel, Sam","Simmons, E. Denise","Ward, Larry W.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped
111,"Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.","Maher, David P.","Toomey, Timothy J., Jr.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,"Decker, Marjorie C.","Reeves, Kenneth E.","Galluccio, Anthony D.","Simmons, E. Denise","Seidel, Sam","Janik, Jonathan S.","Davis, Henrietta","Moree, Gregg J.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Maher, David P.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Davis, Henrietta","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
116,"Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
117,"Sullivan, Edward J.","Davis, Henrietta","Kelley, Craig A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,"Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,"Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
121,"Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,"Kelley, Craig A.","Davis, Henrietta","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
123,"Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Murphy, Brian","Kelley, Craig A.","Toomey, Timothy J., Jr.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
124,"Decker, Marjorie C.","Murphy, Brian","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
125,"Davis, Henrietta","Simmons, E. Denise","Toomey, Timothy J., Jr.","Ward, Larry W.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
126,"Davis, Henrietta","Simmons, E. Denise","Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
127,"Kelley, Craig A.","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
128,"Davis, Henrietta","Decker, Marjorie C.","Podgers, Kathy","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
