ranks,ballotID,rank1,rank2,rank3
"['JOEL ENGARDIO', 'NORMAN YEE', 'BEN MATRANGA']",34205,JOEL ENGARDIO,NORMAN YEE,BEN MATRANGA
"['NORMAN YEE', 'JOEL ENGARDIO', 'MIKE YOUNG']",34206,NORMAN YEE,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34207,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'JOHN FARRELL', 'MIKE YOUNG']",34208,BEN MATRANGA,JOHN FARRELL,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34209,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'skipped', 'skipped']",34210,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'MIKE YOUNG']",34211,NORMAN YEE,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34212,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'skipped', 'skipped']",34213,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",34214,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['JOEL ENGARDIO', 'NORMAN YEE', 'skipped']",34215,JOEL ENGARDIO,NORMAN YEE,skipped
"['JOEL ENGARDIO', 'JOHN FARRELL', 'MIKE YOUNG']",34216,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG
"['BEN MATRANGA', 'MIKE YOUNG', 'JOEL ENGARDIO']",34217,BEN MATRANGA,MIKE YOUNG,JOEL ENGARDIO
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34218,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'BEN MATRANGA', 'MIKE YOUNG']",34219,NORMAN YEE,BEN MATRANGA,MIKE YOUNG
"['NORMAN YEE', 'BEN MATRANGA', 'MIKE YOUNG']",34220,NORMAN YEE,BEN MATRANGA,MIKE YOUNG
"['NORMAN YEE', 'JOEL ENGARDIO', 'BEN MATRANGA']",34221,NORMAN YEE,JOEL ENGARDIO,BEN MATRANGA
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34222,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
