ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
123,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
124,"Weinstein, David J.","Dexter, Emily R.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
125,"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
126,"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
127,"Kelly, Kathleen M.","Crutchfield, Jake W.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
128,"Fantini, Alfred B.","Kelly, Kathleen M.","Cronin, Fran Albin","Dexter, Emily R.","Crutchfield, Jake W.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
129,"Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
130,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
131,"Cronin, Fran Albin","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
132,skipped,"Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
133,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
134,"Harding, Jr., Richard","Bowman, Manikka L.","Crutchfield, Jake W.","Fantini, Alfred B.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
135,"Nolan, Patricia M.","Harding, Jr., Richard","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
136,"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","Fantini, Alfred B.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped
137,"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
138,"Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
139,"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Crutchfield, Jake W.","Dexter, Emily R."
140,"Cronin, Fran Albin","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
141,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
142,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
143,"Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
144,"Nolan, Patricia M.","Bowman, Manikka L.","Weinstein, David J.","Cronin, Fran Albin","Kelly, Kathleen M.","Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped
145,"Kadete, Elechi M.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
146,"Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
147,"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
148,"Nolan, Patricia M.","Bowman, Manikka L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
149,"Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
150,"Kadete, Elechi M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
151,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
152,"Nolan, Patricia M.","Kadete, Elechi M.","Dexter, Emily R.","Harding, Jr., Richard","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped
153,"Kelly, Kathleen M.","Cronin, Fran Albin","Crutchfield, Jake W.","Cisternino, Pia","Dexter, Emily R.","Bowman, Manikka L.","Weinstein, David J.","Kadete, Elechi M.",skipped,skipped,skipped
154,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
155,"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
156,"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
157,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
