ranks,ballotID,rank1,rank2,rank3
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3514,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3515,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3516,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['NEHANDA IMARA', 'LARRY E. REID', 'NEHANDA IMARA']",3517,NEHANDA IMARA,LARRY E. REID,NEHANDA IMARA
"['MARCIE HODGE', 'LARRY E. REID', 'MARCIE HODGE']",3518,MARCIE HODGE,LARRY E. REID,MARCIE HODGE
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3519,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3520,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['NEHANDA IMARA', 'NEHANDA IMARA', 'MARCIE HODGE']",3521,NEHANDA IMARA,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3522,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3523,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3524,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'NEHANDA IMARA', 'skipped']",3525,MARCIE HODGE,NEHANDA IMARA,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3526,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3527,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'MARCIE HODGE']",3528,LARRY E. REID,LARRY E. REID,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'MARCIE HODGE']",3529,LARRY E. REID,MARCIE HODGE,MARCIE HODGE
"['skipped', 'skipped', 'skipped']",3530,skipped,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3531,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['skipped', 'skipped', 'skipped']",3532,skipped,skipped,skipped
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3533,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['skipped', 'skipped', 'skipped']",3534,skipped,skipped,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3535,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3536,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",3537,NEHANDA IMARA,MARCIE HODGE,skipped
