Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Precinct  0000389410500                                            0000388000000000
Precinct  0000390410600                                            0000389000000000
Precinct  0000391415000                                            0000390000000000
Precinct  0000392415200                                            0000391000000000
Precinct  0000393415300                                            0000392000000000
Precinct  0000394415500                                            0000393000000000
Precinct  0000395415600                                            0000394000000000
Precinct  0000396415800                                            0000395000000000
Precinct  0000397415900                                            0000396000000000
Precinct  0000398420500                                            0000397000000000
Precinct  0000399420600                                            0000398000000000
Precinct  0000400420900                                            0000399000000000
Precinct  0000401421000                                            0000400000000000
Precinct  0000402421100                                            0000401000000000
Precinct  0000403421400                                            0000402000000000
Precinct  0000404421510                                            0000403000000000
Precinct  0000405421700                                            0000404000000000
Precinct  0000406421900                                            0000405000000000
Precinct  0000407422000                                            0000406000000000
Precinct  0000408422100                                            0000407000000000
Precinct  0000409422300                                            0000408000000000
Precinct  0000410422600                                            0000409000000000
Precinct  0000411422700                                            0000410000000000
Precinct  0000412422810                                            0000411000000000
Precinct  0000413422900                                            0000412000000000
Precinct  0000414422910                                            0000413000000000
Precinct  0000415422920                                            0000414000000000
Precinct  0000416423000                                            0000415000000000
Precinct  0000417423400                                            0000416000000000
Precinct  0000418423600                                            0000417000000000
Precinct  0000419423610                                            0000418000000000
Precinct  0000420424000                                            0000419000000000
Precinct  0000421424300                                            0000420000000000
Precinct  0000422424400                                            0000421000000000
Precinct  0000423430100                                            0000422000000000
Precinct  0000424430600                                            0000423000000000
Precinct  0000425430700                                            0000424000000000
Precinct  0000426430900                                            0000425000000000
Precinct  0000427431100                                            0000426000000000
Precinct  0000428431800                                            0000427000000000
Precinct  0000429432000                                            0000428000000000
Precinct  0000430432110                                            0000429000000000
Precinct  0000431432200                                            0000430000000000
Precinct  0000432432300                                            0000431000000000
Precinct  0000433432400                                            0000432000000000
Precinct  0000434432600                                            0000433000000000
Precinct  0000435432700                                            0000434000000000
Precinct  0000436432810                                            0000435000000000
Precinct  0000437432900                                            0000436000000000
Precinct  0000438433100                                            0000437000000000
Precinct  0000439433400                                            0000438000000000
Precinct  0000440433500                                            0000439000000000
Precinct  0000441433610                                            0000440000000000
Precinct  0000442433700                                            0000441000000000
Precinct  0000443433900                                            0000442000000000
Precinct  0000444440100                                            0000443000000000
Precinct  0000445440300                                            0000444000000000
Precinct  0000446440400                                            0000445000000000
Precinct  0000447440610                                            0000446000000000
Precinct  0000448440800                                            0000447000000000
Precinct  0000449441100                                            0000448000000000
Precinct  0000450441300                                            0000449000000000
Precinct  0000451442100                                            0000450000000000
Precinct  0000452442600                                            0000451000000000
Precinct  0000453442700                                            0000452000000000
Precinct  0000454442800                                            0000453000000000
Precinct  0000455443000                                            0000454000000000
Precinct  0000456443100                                            0000455000000000
Precinct  0000457443300                                            0000456000000000
Precinct  0000458443400                                            0000457000000000
Precinct  0000459443500                                            0000458000000000
Precinct  0000460447200                                            0000459000000000
Precinct  0000461447600                                            0000460000000000
Precinct  0000462450300                                            0000461000000000
Precinct  0000463450400                                            0000462000000000
Precinct  0000464450610                                            0000463000000000
Precinct  0000465450800                                            0000464000000000
Precinct  0000466451000                                            0000465000000000
Precinct  0000467451510                                            0000466000000000
Precinct  0000468451600                                            0000467000000000
Precinct  0000469451700                                            0000468000000000
Precinct  0000470452100                                            0000469000000000
Precinct  0000471452200                                            0000470000000000
Precinct  0000472452400                                            0000471000000000
Precinct  0000473452500                                            0000472000000000
Precinct  0000474453100                                            0000473000000000
Precinct  0000475453400                                            0000474000000000
Precinct  0000476453500                                            0000475000000000
Precinct  0000477453900                                            0000476000000000
Precinct  0000478453920                                            0000477000000000
Precinct  0000479454100                                            0000478000000000
Precinct  0000480454500                                            0000479000000000
Precinct  0000481455000                                            0000480000000000
Precinct  0000482455100                                            0000481000000000
Precinct  0000483455300                                            0000482000000000
Precinct  0000484455400                                            0000483000000000
Precinct  0000485455500                                            0000484000000000
Precinct  0000486455700                                            0000485000000000
Precinct  0000487455900                                            0000486000000000
Precinct  0000488456200                                            0000487000000000
Precinct  0000489456500                                            0000488000000000
Precinct  0000490456600                                            0000489000000000
Precinct  0000491456900                                            0000490000000000
Precinct  0000492457100                                            0000491000000000
Precinct  0000493457300                                            0000492000000000
Precinct  0000494457400                                            0000493000000000
Precinct  0000495457500                                            0000494000000000
Precinct  0000496457700                                            0000495000000000
Precinct  0000497457900                                            0000496000000000
Precinct  0000498458200                                            0000497000000000
Precinct  0000499458300                                            0000498000000000
Precinct  0000500458500                                            0000499000000000
Precinct  0000501458800                                            0000500000000000
Precinct  0000502470400                                            0000501000000000
Precinct  0000503470600                                            0000502000000000
Precinct  0000504470900                                            0000503000000000
Precinct  0000505471800                                            0000504000000000
Precinct  0000506471900                                            0000505000000000
Precinct  0000507472000                                            0000506000000000
Precinct  0000508472200                                            0000507000000000
Precinct  0000509472300                                            0000508000000000
Precinct  0000510472400                                            0000509000000000
Precinct  0000511472500                                            0000510000000000
Precinct  0000512473300                                            0000511000000000
Precinct  0000513473400                                            0000512000000000
Precinct  0000514473500                                            0000513000000000
Precinct  0000515473600                                            0000514000000000
Precinct  0000516473800                                            0000515000000000
Precinct  0000517473900                                            0000516000000000
Precinct  0000518474010                                            0000517000000000
Precinct  0000519474020                                            0000518000000000
Precinct  0000520474300                                            0000519000000000
Precinct  0000521474500                                            0000520000000000
Precinct  0000522474600                                            0000521000000000
Precinct  0000523474700                                            0000522000000000
Precinct  0000524474900                                            0000523000000000
Precinct  0000525475000                                            0000524000000000
Precinct  0000526475100                                            0000525000000000
Precinct  0000527475200                                            0000526000000000
Precinct  0000528475500                                            0000527000000000
Precinct  0000529475520                                            0000528000000000
Precinct  0000530475540                                            0000529000000000
Precinct  0000531476100                                            0000530000000000
Precinct  0000532476110                                            0000531000000000
Precinct  0000533481200                                            0000532000000000
Precinct  0000534481410                                            0000533000000000
Precinct  0000535481500                                            0000534000000000
Precinct  0000536481800                                            0000535000000000
Precinct  0000537483000                                            0000536000000000
Precinct  0000538491000                                            0000537000000000
Precinct  0000539491100                                            0000538000000000
Precinct  0000540491200                                            0000539000000000
Precinct  0000541491300                                            0000540000000000
Precinct  0000542491500                                            0000541000000000
Precinct  0000543500100                                            0000542000000000
Precinct  0000544500110                                            0000543000000000
Precinct  0000545500120                                            0000544000000000
Precinct  0000546500130                                            0000545000000000
Precinct  0000547500140                                            0000546000000000
Precinct  0000548500200                                            0000547000000000
Precinct  0000549500210                                            0000548000000000
Precinct  0000550500230                                            0000549000000000
Precinct  0000551500300                                            0000550000000000
Precinct  0000552500310                                            0000551000000000
Precinct  0000553500320                                            0000552000000000
Precinct  0000554500340                                            0000553000000000
Precinct  0000555500400                                            0000554000000000
Precinct  0000556500410                                            0000555000000000
Precinct  0000557500500                                            0000556000000000
Precinct  0000558500600                                            0000557000000000
Precinct  0000559500700                                            0000558000000000
Precinct  0000560500910                                            0000559000000000
Precinct  0000561501000                                            0000560000000000
Precinct  0000562501200                                            0000561000000000
Precinct  0000563501300                                            0000562000000000
Precinct  0000564501400                                            0000563000000000
Precinct  0000565501410                                            0000564000000000
Precinct  0000566501600                                            0000565000000000
Precinct  0000567501610                                            0000566000000000
Precinct  0000568501620                                            0000567000000000
Precinct  0000569501630                                            0000568000000000
Precinct  0000570501640                                            0000569000000000
Precinct  0000571501800                                            0000570000000000
Precinct  0000572501830                                            0000571000000000
Precinct  0000573501840                                            0000572000000000
Precinct  0000574501910                                            0000573000000000
Precinct  0000575502000                                            0000574000000000
Precinct  0000576502010                                            0000575000000000
Precinct  0000577502020                                            0000576000000000
Precinct  0000578502030                                            0000577000000000
Precinct  0000579502100                                            0000578000000000
Precinct  0000580502200                                            0000579000000000
Precinct  0000581502210                                            0000580000000000
Precinct  0000582502220                                            0000581000000000
Precinct  0000583502400                                            0000582000000000
Precinct  0000584502410                                            0000583000000000
Precinct  0000585502500                                            0000584000000000
